ثلاثة,thalaatha,Three
أربعة,arba3a,Four
خمسة,khamsa,Five
ستة,sitta,Six
سبعة,sab3a,Seven
ثمانية,thamaaniya,Eight
تسعة,tis3a,Nine
عشرة,3ashara,Ten
احد عشر,iHda 3ashar,Eleven
اثني عشر,ithna 3ashar,Twelve
ثلاثة عشر,thalaathat 3ashar,Thirteen
أربعة عشر,arba3at 3ashar,Fourteen
خمسة عشر,khamsat 3ashar,Fifteen
ستة عشر,sittat 3ashar,Sixteen
سبعة عشر,sab3at 3ashar,Seventeen
ثمانية عشر,thamaanyat 3ashar,Eighteen
تسعة عشر,tis3at 3ashar,Nineteen
عشرين,3ishreen,Twenty
ثلاثة وعشرين,thalaatha w 3ishreen,Twenty-three
ثلاثين,thalaatheen,Thirty
سبعة وثلاثين,sab3a w thalaatheen,Thirty-seven
أربعين,arba3een,Forty
اثنين وأربعين,ithnayn w arba3een,Forty-two
خمسين,khamseen,Fifty
ثمانية وخمسين,thamaanya w khamseen,Fifty-eight
ستين,sitteen,Sixty
أربعة وستين,arba3a w sitteen,Sixty-four
سبعين,sab3een,Seventy
ستة وسبعين,sitta w sab3een,Seventy-six
ثمانين,thamaaneen,Eighty
واحد وثمانين,waaHid w thamaaneen,Eighty-one
تسعين,tis3een,Ninety
خمسة وتسعين,khamsa w tis3een,Ninety-five
مية,miya,One hundred
ألف,alf,One thousand
مليون,milyoon,One million
,,
Ordinal Numbers,OrdinalNumbers.json,
أول,awwal,First
ثاني,thaanee,Second
ثالث,thaalith,Third
رابع,raabi3,Fourth
خامس,khaamis,Fifth
سادس,saadis,Sixth
سابع,saabi3,Seventh
ثامن,thaamin,Eighth
تاسع,taasi3,Ninth
عاشر,3aashir,Tenth
حادي عشر,Haadi 3ashar,Eleventh
ثاني عشر,thaanee 3ashar,Twelfth
ثالث عشر,thaalith 3ashar,Thirteenth
رابع عشر,raabi3 3ashar,Fourteenth
خامس عشر,khaamis 3ashar,Fifteenth
سادس عشر,saadis 3ashar,Sixteenth
سابع عشر,saabi3 3ashar,Seventeenth
ثامن عشر,thaamin 3ashar,Eighteenth
تاسع عشر,taasi3 3ashar,Nineteenth
عشرون,3ishroon,Twentieth
الحادي والعشرون,il-Haadi w il-3ishroon,Twenty-first
الثلاثون,ith-thalaathoon,Thirtieth
الأربعون,il-arba3oon,Fortieth
الخمسون,il-khamsoon,Fiftieth
الستون,is-sittoon,Sixtieth
السبعون,is-sab3oon,Seventieth
الثمانون,ith-thamaanoon,Eightieth
التسعون,it-tis3oon,Ninetieth
المئة,il-mi'ah,One hundredth
الألف,il-alf,One thousandth
,,
Animals and Plants,AnimalsAndPlants.json,
كلب,kalb,Dog
قط,QiT,Cat
شجرة,shajara,Tree
زهرة,zahra,Flower
عشب,3ushb,Grass
بقرة,baqara,Cow
دجاجة,dajaja,Chicken
سمك,samak,Fish
وردة,wardeh,Rose
شجيرة,shujeira,Bush
طير,Tayr,Bird
خروف,kharoof,Sheep
معزة,ma3za,Goat
,,
Transportation,Transportation.json,
سيارة,sayyara,Car
باص,baaS,Bus
دراجة,diraaja,Bicycle
قطار,QiTaar,Train
طيارة,Tayara,Airplane
قارب,qareb,Boat
دراجة نارية,diraaja naariyya,Motorcycle
مترو,mitro,Subway
تاكسي,taaksi,Taxi
شاحنة,shaaHina,Truck
سوق,sooq,To drive
ركب,rkab,To ride
غادر,ghaadir,To depart
صل,sil,To arrive
سافر,saafer,To travel
راح,raaH,To go
,,
Days of the Week,DaysOfTheWeek.json,
الأحد,Al-Ahad,Sunday
الاثنين,Al-Ithnayn,Monday
الثلاثاء,Al-Thulatha,Tuesday
الأربعاء,Al-Arbaa,Wednesday
الخميس,Al-Khamis,Thursday
الجمعة,Al-Jumua,Friday
السبت,Al-Sabt,Saturday
أسبوع,usbuu3,Week
,,
Months,Months.json,
يناير,Yanayir,January
فبراير,Fibrayir,February
مارس,Maris,March
أبريل,Abril,April
مايو,Mayu,May
يونيو,Yunyu,June
يوليو,Yulyu,July
أغسطس,Agustus,August
سبتمبر,Sabtimbir,September
أكتوبر,Oktubar,October
نوفمبر,Nufimbir,November
ديسمبر,Disimbar,December
,,
Time,Time.json,
ثانية,thaaniyeh,Second
دقيقة,Daqiqa,Minute
ساعة,saa3a,Hour
اليوم,al-yoom,Today
بكرة,Bukra,Tomorrow
امبارح,Ambareh,Yesterday
يوم,yoom,Day
أسبوع,usbuu3,Week
شهر,shahr,Month
سنة,saneh,Year
صبح,SubiH,Morning
الظهر,Al-Dhuhr,Noon
مسا,masaa,Evening
ربيع,rabii3,Spring
صيف,Sayf,Summer
خريف,Khareef,Autumn/Fall
شتا,shitaa,Winter
,,
Colours,Colours.json,
أحمر,aHmar,Red
برتقالي,burtuqaali,Orange
أصفر,asfar,Yellow
أخضر,akhdar,Green
أزرق,azraq,Blue
بنفسجي,banafsaji,Purple
وردي,wardi,Pink
بني,buni,Brown
أسود,aswad,Black
أبيض,abyad,White
رمادي,ramaadi,Grey
ذهبي,dhahabi,Gold
فضي,fadhi,Silver
,,
Food and Drink,FoodAndDrink.json,
تفاح,tuffaah,Apple
موز,mozz,Banana
برتقال,burtuqaal,Orange
شوربة,shorba,Soup
لحم بقري,laHm baqri,Beef
دجاج,dajaaj,Chicken
سمك,samak,Fish
بيض,beyD,Eggs
جبنة,jibna,Cheese
زبادي,zabadi,Yogurt
ماء,maa',Water
حليب,haleeb,Milk
شاي,shay,Tea
قهوة,qahwa,Coffee
خبز,khubz,Bread
أرز,aruzz,Rice
معكرونة,ma3karoona,Pasta
طعام,Ta3aam,Food
مشروب,mashroob,Beverage
أكل,akul,To eat
شرب,shrab,To drink
,,
Feelings,Feelings.json,
سعيد,sa3eed,Happy
حزين,Hazeen,Sad
غاضب,ghaDib,Angry
متحمس,muthaamis,Excited
متوتر,mutawater,Nervous
هادئ,haadi',Calm
مسترخي,mustarkhi,Relaxed
تعبان,ta3baan,Tired
زهقان,zahqaan,Bored
مشوش,mushawwash,Confused
قلق,qaliq,Worried
منزعج,munza3ij,Annoyed
مكتئب,mukta'ib,Depressed
خائب الأمل,khayib il-amal,Disappointed
مضغوط,maDghooT,Stressed
وحيد,waHeed,Lonely
,,
Body Parts,BodyParts.json,
رأس,raas,Head
عين,3ayn,Eye
فم,fam,Mouth
يد,yad,Hand
ساق,saaq,Leg
قدم,qadam,Foot
إذن,udhun,Ear
انف,anf,Nose
جسم,jism,Body
رقبة,raqabeh,Neck
لسان,lisaan,Tongue
وجه,wajh,Face
زراع,dhiraa3,Arm
شعر,sha3r,Hair
نفس,tnaffas,To breathe
لمس,lmis,To touch
,,
Weather,Weather.json,
طقس,Taqs,Weather
شمس,shams,Sun
غيم,ghaym,Cloud
مطر,matar,Rain
ريح,reeh,Wind
عاصفة,aasefa,Storm
ثلج,thalj,Snow
برق,barq,Lightning
رعد,ra3d,Thunder
ضباب,dibaab,Fog
برد,barad,Hail
دافئ,dafee,Warm
بارد,baarid,Cold
مبلول,mablool,Wet
,,
Directions,Directions.json,
شمال,shamaal,North
جنوب,janoob,South
شرق,sharq,East
غرب,gharb,West
إلى الأمام,ila al-amaam,Forward
إلى الوراء,ila al-waraa,Backward
يسار,yasaar,Left
يمين,yameen,Right
لأعلى,la'ala,Up
لأسفل,lasfala,Down
قدام,qidaam,Ahead
وراء,wara',Behind
عبر,abur,Across
قريب,qareeb,Near
بعيد,ba3eed,Far
,,
Everyday Verbs,EverydayVerbs.json,
مشي,mshi,To walk
حكي,Hki,To talk
أكل,akul,To eat
شرب,shrab,To drink
نام,naam,To sleep
جري,jri,To run
قرأ,qra,To read
كتب,ktub,To write
استمع,stami3,To listen
طبخ,Tbakh,To cook
نظف,nZif,To clean
لعب,l3ab,To play
عمل,3mal,To work
درس,drus,To study
,,
Action Verbs,ActionVerbs.json,
قفز,qafaza,To jump
رقص,raqasa,To dance
سبح,sabaḥa,To swim
غنى,ghanā,To sing
تحدث,taḥaddath,To speak
ضحك,ḍaḥika,To laugh
عانق,ʿānaqa,To hug
طير,ṭayyara,To fly
مشى,mashā,To walk
دفع,dafaʿ,To push
سحب,saḥaba,To pull
جرى,jarā,To run
تخطى,takhṭa,To skip
صرخ,ṣarakh,To shout
درس,darasa,To study
حكى,ḥakā,To talk
بكى,bakā,To cry
صنع,ṣanaʿa,To make
علم,ʿalima,To teach
